0, +4.9827e-01, +2.0209e+02, +1.1458e+02, +1.5073e+05, 1.782335e-01, 3.735823e-03, 1.159097e-04, -1.677412e-07,
100, +1.9423e-01, +6.8664e+01, +6.5205e+01, +5.8768e+04, 9.694600e-01, 3.646639e-03, 4.415952e-03, -4.430578e-07,
200, +2.4092e-01, +7.3975e+01, +6.1470e+01, +7.1150e+04, 8.118453e-01, 3.672736e-03, -2.254468e-03, 1.458897e-08,
300, +2.4398e-01, +7.9934e+01, +5.8805e+01, +7.2046e+04, 6.660827e-01, 3.687236e-03, -1.477708e-02, 2.179753e-07,
400, +2.0610e-01, +6.8683e+01, +6.5491e+01, +6.0312e+04, 5.812941e-01, 3.695721e-03, 1.275322e-02, 4.067905e-07,
500, +2.1599e-01, +6.1553e+01, +6.3593e+01, +6.4012e+04, 5.199445e-01, 3.701483e-03, -1.489716e-02, 8.513636e-07,
600, +2.2857e-01, +7.3885e+01, +6.4317e+01, +6.6585e+04, 4.461370e-01, 3.703154e-03, 1.259421e-03, 5.693175e-07,
700, +1.9846e-01, +6.6595e+01, +6.8998e+01, +5.8496e+04, 4.108466e-01, 3.702974e-03, -2.562207e-03, 6.623783e-07,
800, +2.1662e-01, +7.5590e+01, +6.8494e+01, +6.3044e+04, 3.722357e-01, 3.702073e-03, -1.134571e-02, 7.022665e-07,
900, +2.2226e-01, +5.3926e+01, +6.8627e+01, +6.6520e+04, 3.270210e-01, 3.698969e-03, -5.787054e-03, 4.947205e-07,
1000, +1.9235e-01, +6.2283e+01, +6.4927e+01, +5.6528e+04, 2.868642e-01, 3.694784e-03, 7.069025e-03, 3.397429e-07,
1100, +1.9438e-01, +6.1201e+01, +5.9725e+01, +5.7436e+04, 2.555507e-01, 3.689583e-03, 9.277954e-03, 1.986440e-07,
1200, +2.0383e-01, +5.9875e+01, +5.8368e+01, +6.1123e+04, 2.316550e-01, 3.683252e-03, -5.120289e-03, 7.463937e-08,
1300, +2.3321e-01, +6.0720e+01, +5.9130e+01, +6.9244e+04, 2.083220e-01, 3.676537e-03, -4.137054e-03, -1.670477e-09,
1400, +2.6314e-01, +7.3061e+01, +6.3522e+01, +7.7556e+04, 1.791752e-01, 3.669333e-03, 1.896859e-03, -2.215599e-08,
1500, +2.3003e-01, +7.2888e+01, +7.4481e+01, +6.7094e+04, 1.482003e-01, 3.660789e-03, 3.357548e-03, 2.764855e-08,
1600, +2.5493e-01, +7.2744e+01, +6.5505e+01, +7.4852e+04, 1.222524e-01, 3.651019e-03, 2.827484e-04, 2.515199e-07,
1700, +2.7323e-01, +7.2749e+01, +7.1682e+01, +8.0434e+04, 1.053793e-01, 3.640941e-03, -6.077546e-03, 5.084753e-07,
1800, +2.4045e-01, +6.4285e+01, +6.4791e+01, +7.0864e+04, 9.310460e-02, 3.630907e-03, -1.428946e-02, 6.329469e-07,
1900, +2.4693e-01, +5.8453e+01, +5.8095e+01, +7.2936e+04, 7.793032e-02, 3.620481e-03, -4.699014e-03, 7.052033e-07,
2000, +2.5327e-01, +6.4070e+01, +6.2979e+01, +7.4563e+04, 5.793639e-02, 3.609169e-03, 2.242994e-02, 8.161185e-07,
2100, +2.2319e-01, +6.3972e+01, +5.7890e+01, +6.6208e+04, 3.696993e-02, 3.596807e-03, 3.492052e-02, 9.768137e-07,
2200, +2.1957e-01, +7.0343e+01, +5.3900e+01, +6.3868e+04, 1.979333e-02, 3.583465e-03, 2.111750e-02, 1.131979e-06,
2300, +2.0213e-01, +6.8513e+01, +6.0070e+01, +5.8504e+04, 7.666739e-03, 3.569460e-03, -1.487387e-03, 1.199511e-06,
2400, +1.9207e-01, +6.2121e+01, +5.6540e+01, +5.6646e+04, -1.308748e-03, 3.554944e-03, -1.757461e-02, 1.153217e-06,
2500, +2.0401e-01, +6.6894e+01, +5.9354e+01, +5.9609e+04, -9.296023e-03, 3.539761e-03, -2.086722e-02, 1.045619e-06,
2600, +1.9349e-01, +6.5033e+01, +6.0608e+01, +5.6407e+04, -1.672396e-02, 3.523554e-03, -1.281438e-02, 9.371532e-07,
2700, +1.8027e-01, +5.9798e+01, +5.8756e+01, +5.2451e+04, -2.287921e-02, 3.505914e-03, -1.666779e-03, 8.761594e-07,
2800, +1.9260e-01, +6.2727e+01, +6.2877e+01, +5.6321e+04, -2.718899e-02, 3.486852e-03, 5.051220e-03, 9.386016e-07,
2900, +1.8785e-01, +5.9927e+01, +6.0282e+01, +5.4617e+04, -3.034845e-02, 3.467014e-03, 5.967684e-03, 1.074315e-06,
3000, +1.6831e-01, +5.4783e+01, +4.9761e+01, +4.8911e+04, -3.235307e-02, 3.447137e-03, 5.380541e-03, 1.260979e-06,
3100, +1.6548e-01, +5.3954e+01, +5.0662e+01, +4.8351e+04, -3.462254e-02, 3.427502e-03, 3.765850e-03, 1.399763e-06,
3200, +1.8193e-01, +5.9713e+01, +5.3261e+01, +5.3320e+04, -3.637034e-02, 3.408069e-03, 7.129521e-03, 1.439686e-06,
3300, +1.8690e-01, +6.1523e+01, +5.4634e+01, +5.4645e+04, -3.681769e-02, 3.388799e-03, 1.085787e-02, 1.419765e-06,
3400, +1.7896e-01, +5.9224e+01, +5.9704e+01, +5.2818e+04, -3.597267e-02, 3.369686e-03, 9.776079e-03, 1.429803e-06,
3500, +1.7427e-01, +5.3182e+01, +5.7653e+01, +5.2379e+04, -3.359383e-02, 3.350721e-03, 6.095158e-03, 1.454787e-06,
3600, +1.8298e-01, +5.4857e+01, +6.5116e+01, +5.5628e+04, -3.006351e-02, 3.332021e-03, 4.906316e-03, 1.472760e-06,
3700, +1.7839e-01, +5.6275e+01, +6.3358e+01, +5.4087e+04, -2.560185e-02, 3.313722e-03, 7.795922e-03, 1.476344e-06,
3800, +1.6779e-01, +5.4488e+01, +5.7767e+01, +5.1537e+04, -2.093686e-02, 3.295914e-03, 1.157018e-02, 1.473283e-06,
3900, +1.8132e-01, +5.5256e+01, +5.6531e+01, +5.3745e+04, -1.682297e-02, 3.278645e-03, 1.150489e-02, 1.439382e-06,
4000, +1.8634e-01, +5.9005e+01, +5.4292e+01, +5.4801e+04, -1.290443e-02, 3.261880e-03, 7.450851e-03, 1.392242e-06,
4100, +1.8857e-01, +5.9761e+01, +5.7660e+01, +5.4881e+04, -9.544352e-03, 3.245506e-03, 7.705641e-04, 1.334863e-06,
4200, +1.8045e-01, +5.7495e+01, +5.5603e+01, +5.3859e+04, -7.634060e-03, 3.229375e-03, -7.324730e-03, 1.264706e-06,
4300, +2.0043e-01, +5.5975e+01, +5.8577e+01, +5.8536e+04, -6.956864e-03, 3.213400e-03, -1.573026e-02, 1.192665e-06,
4400, +2.1350e-01, +5.9643e+01, +6.1041e+01, +6.2262e+04, -7.616550e-03, 3.197530e-03, -2.140538e-02, 1.126599e-06,
4500, +2.1478e-01, +5.9889e+01, +5.8942e+01, +6.2576e+04, -9.437530e-03, 3.181713e-03, -2.160637e-02, 1.085551e-06,
4600, +2.0432e-01, +5.6744e+01, +5.2274e+01, +5.9460e+04, -1.125157e-02, 3.165922e-03, -1.605507e-02, 1.084378e-06,
4700, +2.0875e-01, +5.4675e+01, +5.5292e+01, +6.1334e+04, -1.225710e-02, 3.150211e-03, -3.982066e-03, 1.116849e-06,
4800, +2.1526e-01, +5.8141e+01, +5.4472e+01, +6.3273e+04, -1.227212e-02, 3.134655e-03, 1.220540e-02, 1.174990e-06,
