0, +7.6194e+00, +5.0168e+03, +3.1176e+03, +6.0779e+06, 5.849198e-01, 0.000000e+00, -8.360095e-02, 0.000000e+00,
100, +3.2527e+00, +2.4414e+03, +1.9264e+03, +2.2735e+06, 6.635885e-01, 0.000000e+00, -8.130013e-02, 0.000000e+00,
200, +1.5784e+00, +1.2157e+03, +8.4188e+02, +1.0892e+06, 6.528592e-01, 0.000000e+00, -8.160484e-02, 0.000000e+00,
300, +8.5739e-01, +4.9809e+02, +2.9296e+02, +3.4385e+05, 6.597811e-01, 0.000000e+00, -8.334518e-02, 0.000000e+00,
400, +2.6334e-01, +1.1578e+02, +8.7894e+01, +1.0970e+05, 6.602603e-01, 0.000000e+00, -8.364907e-02, 0.000000e+00,
500, +1.5075e-01, +8.6338e+01, +4.5617e+01, +6.4601e+04, 6.602798e-01, 0.000000e+00, -8.366827e-02, 0.000000e+00,
600, +3.6685e-02, +8.4085e+00, +1.0089e+01, +2.2173e+04, 6.600306e-01, 0.000000e+00, -8.365309e-02, 0.000000e+00,
700, +7.7791e-02, +8.3929e+00, +2.2528e+01, +3.5718e+04, 6.599416e-01, 0.000000e+00, -8.366320e-02, 0.000000e+00,
800, +1.5732e-01, +6.0833e+01, +4.7905e+01, +4.4848e+04, 6.590661e-01, 0.000000e+00, -8.374737e-02, 0.000000e+00,
900, +2.1876e-02, +1.6537e+01, +1.0829e+01, +1.3646e+04, 6.580394e-01, 0.000000e+00, -8.383148e-02, 0.000000e+00,
1000, +2.6834e-02, +1.4911e+01, +1.0917e+01, +1.1227e+04, 6.586112e-01, 0.000000e+00, -8.389440e-02, 0.000000e+00,
1100, +7.1240e-03, +4.3675e+00, +3.8323e+00, +5.6602e+03, 6.589506e-01, 0.000000e+00, -8.391253e-02, 0.000000e+00,
1200, +5.7537e-03, +3.3441e+00, +2.9291e+00, +3.3355e+03, 6.593327e-01, 0.000000e+00, -8.395209e-02, 0.000000e+00,
1300, +5.0464e-03, +3.1894e+00, +2.4618e+00, +3.1625e+03, 6.595700e-01, 0.000000e+00, -8.398756e-02, 0.000000e+00,
1400, +3.2644e-03, +2.1575e+00, +1.6368e+00, +2.4067e+03, 6.597026e-01, 0.000000e+00, -8.400899e-02, 0.000000e+00,
1500, +1.8489e-03, +1.1765e+00, +8.9337e-01, +1.4575e+03, 6.597722e-01, 0.000000e+00, -8.402165e-02, 0.000000e+00,
1600, +1.0269e-03, +6.3878e-01, +4.6290e-01, +8.0831e+02, 6.598113e-01, 0.000000e+00, -8.402864e-02, 0.000000e+00,
1700, +5.2655e-04, +3.3410e-01, +2.2915e-01, +3.9771e+02, 6.598326e-01, 0.000000e+00, -8.403250e-02, 0.000000e+00,
1800, +2.5118e-04, +1.5903e-01, +1.1499e-01, +1.8993e+02, 6.598437e-01, 0.000000e+00, -8.403451e-02, 0.000000e+00,
1900, +1.2276e-04, +7.9526e-02, +6.0852e-02, +9.3239e+01, 6.598494e-01, 0.000000e+00, -8.403552e-02, 0.000000e+00,
2000, +6.4963e-05, +4.2533e-02, +3.2550e-02, +4.7834e+01, 6.598521e-01, 0.000000e+00, -8.403602e-02, 0.000000e+00,
2100, +3.3655e-05, +2.2142e-02, +1.6931e-02, +2.5095e+01, 6.598534e-01, 0.000000e+00, -8.403627e-02, 0.000000e+00,
2200, +1.7143e-05, +1.1094e-02, +8.4745e-03, +1.3092e+01, 6.598541e-01, 0.000000e+00, -8.403640e-02, 0.000000e+00,
2300, +8.7507e-06, +5.6308e-03, +4.1256e-03, +6.6642e+00, 6.598545e-01, 0.000000e+00, -8.403646e-02, 0.000000e+00,
2400, +4.3692e-06, +2.7953e-03, +2.0139e-03, +3.3194e+00, 6.598546e-01, 0.000000e+00, -8.403650e-02, 0.000000e+00,
2500, +2.1696e-06, +1.3847e-03, +1.0133e-03, +1.6472e+00, 6.598547e-01, 0.000000e+00, -8.403651e-02, 0.000000e+00,
2600, +1.0905e-06, +6.9739e-04, +5.2747e-04, +8.2901e-01, 6.598548e-01, 0.000000e+00, -8.403652e-02, 0.000000e+00,
2700, +5.5945e-07, +3.6448e-04, +2.7879e-04, +4.2617e-01, 6.598548e-01, 0.000000e+00, -8.403653e-02, 0.000000e+00,
2800, +2.9089e-07, +1.9091e-04, +1.4598e-04, +2.2189e-01, 6.598548e-01, 0.000000e+00, -8.403653e-02, 0.000000e+00,
2900, +1.5103e-07, +9.7703e-05, +7.4675e-05, +1.1520e-01, 6.598548e-01, 0.000000e+00, -8.403653e-02, 0.000000e+00,
